"ROWID","YEAR","DATANUM","SERIAL","HHWT","HHTYPE","REGION","STATEFIP","COUNTY","METRO","CITY","GQ","FRIDGE","PHONE","CINETHH","CILAPTOP","CISMRTPHN","CITABLET","CIHISPEED","VEHICLES","PERNUM","PERWT","RELATE","RELATED","SEX","AGE","BIRTHQTR","MARST","BIRTHYR","MARRNO","MARRINYR","YRMARR","DIVINYR","RACE","RACED","BPL","BPLD","ANCESTR1","ANCESTR1D","ANCESTR2","ANCESTR2D","CITIZEN","SCHOOL","INCTOT","FTOTINC","INCWAGE","INCSS","INCWELFR","INCRETIR","POVERTY","VETDISAB","DIFFREM"
2118366,2016,1,923555,180,1,31,37,1190,4,0,1,2,2,1,1,1,2,10,1,1,180,1,101,1,62,1,1,1954,2,1,2008,1,2,200,45,4500,902,9020,999,9990,0,1,15000,45000,0,15000,0,0,281,1,1
2167316,2016,1,945938,60,1,21,39,450,4,0,1,2,2,1,1,1,1,10,2,2,68,2,201,2,49,3,1,1967,1,1,1987,1,1,100,19,1900,32,321,50,500,0,1,35000,195000,35000,0,0,0,501,0,1
412060,2016,1,170104,162,6,42,6,710,4,0,1,2,2,3,2,2,2,0,9,1,162,1,101,2,66,1,5,1950,1,1,1976,1,1,100,200,20000,210,2101,999,9990,3,1,7000,7000,0,7000,0,0,61,0,1
2407227,2016,1,1054827,73,1,12,42,30,3,0,1,2,2,1,1,2,2,10,3,2,79,2,201,2,74,4,1,1942,1,1,1965,1,1,100,42,4200,22,220,32,321,0,1,10600,104450,0,8600,0,0,501,0,1
2174371,2016,1,949173,23,6,21,39,490,4,0,1,2,2,1,2,1,2,10,1,1,23,1,101,2,24,2,6,1992,0,0,0,0,1,100,39,3900,999,9990,999,9990,0,1,20000,20000,20000,0,0,0,160,0,1
2952448,2016,1,1289713,83,1,31,51,5500,3,1150,1,2,2,1,1,1,2,10,3,1,82,1,101,1,54,3,1,1962,1,1,1999,1,1,100,51,5100,22,220,999,9990,0,1,98500,125850,98000,0,0,0,501,1,1
2642571,2016,1,1161602,16,0,33,48,0,0,0,3,0,0,0,0,0,0,0,0,1,16,13,1301,2,52,4,2,1964,1,1,1988,1,1,100,6,600,88,880,999,9990,0,1,3000,9999999,3000,0,0,0,0,0,1
3150587,2016,1,1377644,113,1,21,55,790,4,0,1,2,2,1,1,1,1,10,2,3,95,9,901,2,12,2,6,2004,0,0,0,0,1,100,55,5500,32,321,142,1420,0,2,9999999,130400,999999,99999,99999,999999,501,0,1
1375831,2016,1,595334,3,0,11,25,0,3,0,4,0,0,0,0,0,0,0,0,1,3,12,1270,2,61,3,6,1955,0,0,0,0,2,200,25,2500,510,5100,999,9990,0,1,11500,9999999,0,11500,0,0,92,0,2
1062508,2016,1,453916,169,3,21,17,310,3,0,1,2,2,1,1,1,2,10,2,1,169,1,101,2,58,3,6,1958,0,0,0,0,2,200,17,1700,996,9960,999,9990,0,1,27500,27500,27500,0,0,0,173,0,1
